feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,activity
0.0,0.44653087854385376,1.020948886871338,0.0,0.6862288117408752,1.0334805250167847,0.8905866146087646,0.0,0.0,0.0,0.2703697681427002,0.0,0.0,0.4807802736759186,0.0,0.0,0.2681775987148285,0.0,0.46239688992500305,0.0,0.0,0.0,0.8081780076026917,0.4482268691062927,0.0,0.0,0.0,0.0,0.0,0.6505450010299683,0.860495388507843,0.8448109030723572,1.0
0.0,0.44784021377563477,1.0232044458389282,0.0,0.6869457960128784,1.0334891080856323,0.892772912979126,0.0,0.0,0.0,0.272269070148468,0.0,0.0,0.4816538095474243,0.0,0.0,0.2661270797252655,0.0,0.4638654887676239,0.0,0.0,0.0,0.8099713921546936,0.4466998279094696,0.0,0.0,0.0,0.0,0.0,0.6523767709732056,0.8628085851669312,0.8449445366859436,1.0
0.0,0.4498087167739868,1.0226573944091797,0.0,0.6874853372573853,1.0307621955871582,0.8920689821243286,0.0,0.0,0.0,0.27546051144599915,0.0,0.0,0.48084959387779236,0.0,0.0,0.2620525062084198,0.0,0.46408388018608093,0.0,0.0,0.0,0.8103333115577698,0.4428125321865082,0.0,0.0,0.0,0.0,0.0,0.6510565876960754,0.8626492023468018,0.8437898755073547,1.0
0.0,0.44478410482406616,1.0228257179260254,0.0,0.6812434792518616,1.0248488187789917,0.8928625583648682,0.0,0.0,0.0,0.27344122529029846,0.0,0.0,0.48371702432632446,0.0,0.0,0.2592110335826874,0.0,0.46403202414512634,0.0,0.0,0.0,0.8078310489654541,0.44031012058258057,0.0,0.0,0.0,0.0,0.0,0.6538240909576416,0.8630259037017822,0.8377285003662109,1.0
0.0,0.43806540966033936,1.030543327331543,0.0,0.6745753884315491,1.0228724479675293,0.9013957977294922,0.0,0.0,0.0,0.27034151554107666,0.0,0.0,0.4915480613708496,0.0,0.0,0.2565922141075134,0.0,0.46766239404678345,0.0,0.0,0.0,0.808866024017334,0.4394654929637909,0.0,0.0,0.0,0.0,0.0,0.6646718382835388,0.8704313039779663,0.8329223394393921,1.0
0.0,0.44011157751083374,1.0337868928909302,0.0,0.676765501499176,1.0255329608917236,0.9045143127441406,0.0,0.0,0.0,0.2718430459499359,0.0,0.0,0.4924844205379486,0.0,0.0,0.2558903396129608,0.0,0.4694969356060028,0.0,0.0,0.0,0.8117659687995911,0.4394320249557495,0.0,0.0,0.0,0.0,0.0,0.6672700643539429,0.8735161423683167,0.8351181745529175,1.0
0.0,0.44387295842170715,1.0270428657531738,0.0,0.6798412203788757,1.0243936777114868,0.8973495960235596,0.0,0.0,0.0,0.27386248111724854,0.0,0.0,0.4867771863937378,0.0,0.0,0.2566380500793457,0.0,0.4663008451461792,0.0,0.0,0.0,0.8097389936447144,0.4387396574020386,0.0,0.0,0.0,0.0,0.0,0.6588729023933411,0.8671815395355225,0.8365188241004944,1.0
0.0,0.4405190646648407,1.0185527801513672,0.0,0.6755995154380798,1.01811683177948,0.889092206954956,0.0,0.0,0.0,0.27105313539505005,0.0,0.0,0.4836314916610718,0.0,0.0,0.2582915425300598,0.0,0.4615675210952759,0.0,0.0,0.0,0.8032377362251282,0.4385330379009247,0.0,0.0,0.0,0.0,0.0,0.651841402053833,0.8591242432594299,0.8318450450897217,1.0
0.0,0.4366426467895508,1.0168328285217285,0.0,0.6716406941413879,1.015282154083252,0.8877625465393066,0.0,0.0,0.0,0.2680143117904663,0.0,0.0,0.4846857488155365,0.0,0.0,0.2594229578971863,0.0,0.46026262640953064,0.0,0.0,0.0,0.800361692905426,0.4391220510005951,0.0,0.0,0.0,0.0,0.0,0.6519784331321716,0.8574073910713196,0.828607439994812,1.0
0.0,0.4381820857524872,1.0198346376419067,0.0,0.6732134222984314,1.0169378519058228,0.8906596302986145,0.0,0.0,0.0,0.2696934938430786,0.0,0.0,0.4856266975402832,0.0,0.0,0.2580602169036865,0.0,0.4620388448238373,0.0,0.0,0.0,0.8027977347373962,0.4384143352508545,0.0,0.0,0.0,0.0,0.0,0.6543096303939819,0.8603237271308899,0.830003023147583,1.0
0.0,0.4401395916938782,1.0194194316864014,0.0,0.6752328276634216,1.0180413722991943,0.8900220394134521,0.0,0.0,0.0,0.27107521891593933,0.0,0.0,0.48447105288505554,0.0,0.0,0.25810787081718445,0.0,0.4620177447795868,0.0,0.0,0.0,0.8035078644752502,0.43838605284690857,0.0,0.0,0.0,0.0,0.0,0.6528921127319336,0.8599677681922913,0.8315775394439697,1.0
0.0,0.44158875942230225,1.0347837209701538,0.0,0.6745002865791321,1.0226765871047974,0.9056040644645691,0.0,0.0,0.0,0.27311572432518005,0.0,0.0,0.4924415946006775,0.0,0.0,0.2523680031299591,0.0,0.4702378809452057,0.0,0.0,0.0,0.8155770301818848,0.436123251914978,0.0,0.0,0.0001055476168403402,1.4425640074477997e-05,0.0,0.6718090176582336,0.8746852278709412,0.8325459361076355,1.0
